[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/AbstractTextEditor.Color.SelectionForeground.SystemDefault = true
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/breakpointIndicationColor = 0,0,255
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/currentIPColor = 198,219,174
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/currentLineColor = 232,242,254
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/deletionIndicationColor = 0,0,0
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/filteredSearchResultIndicationColor = 237,237,252
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/hyperlinkColor = 0,122,166
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/hyperlinkColor.SystemDefault = true
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/infoIndicationColor = 130,160,190
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/lineNumberColor = 120,120,120
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/linked.slave.color = 180,215,255
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/LSP4EReadOccurrenceIndicationColor = 212,212,212
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/LSP4ETextOccurrenceIndicationColor = 212,212,212
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/LSP4EWriteOccurrenceIndicationColor = 240,216,168
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/matchingTagIndicationColor = 212,212,212
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/occurrenceIndicationColor = 212,212,212
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/overrideIndicatorColor = 180,207,205
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/printMarginColor = 176,180,185
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/searchResultHighlighting = true
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/searchResultIndication = false
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/searchResultIndicationColor = 206,204,247
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/searchResultTextStyle = NONE
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/secondaryIPColor = 219,235,204
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/spellingIndicationColor = 255,128,64
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/TextOccurrenceIndicationColor = 212,212,212
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.editors/writeOccurrenceIndicationColor = 240,216,168
[2022-03-20 15:01:17] Performing Preference /instance/org.eclipse.ui.genericeditor/matchingBracketsColor = 127,0,85
